Name,Attribute,Type,Level,Attack,Defense,Description,Property,Status,Limitation text
Masaki the Legendary Swordsman,EARTH,Warrior,4,1100,1100,Legendary swordmaster Masaki is a veteran of over 100 battles.,,,
Mask of Brutality,,Magic,,,,"The equipped monster gains 1000 ATK and loses 1000 DEF. During each of your Standby Phases, pay 1000 LP or destroy this card.",Equip,,
Mask of Darkness,DARK,Fiend / Flip / Effect,2,900,400,FLIP: Target 1 Trap in your GY; add that target to your hand.,,,
Mask of Dispel,,Magic,,,,"Select 1 face-up Spell Card on the field. The controller of the Spell Card takes 500 points of damage during each of your Standby Phases. When the selected card is removed from the field, destroy this card.",Continuous,,
Mask of Restrict,,Trap,,,,Neither player can Tribute cards.,Continuous,,
Mask of the Accursed,,Magic,,,,"The equipped monster cannot attack. Once per turn, during your Standby Phase: Inflict 500 damage to the controller of the equipped monster.",Equip,,
Mask of Weakness,,Trap,,,,Target 1 attacking monster; that target loses 700 ATK until the end of this turn.,Normal,,
Masked Beast Des Gardius,DARK,Fiend / Effect,8,3300,2500,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 2 monsters, including at least 1 ""Grand Tiki Elder"" or ""Melchid the Four-Face Beast"". When this card is sent from the field to the Graveyard, equip 1 ""The Mask of Remnants"" from your Deck to 1 monster on the field.",,,
Masked Chopper,EARTH,Fiend / Effect,1,100,100,"If this card destroys an opponent's monster by battle, inflict 2000 damage to your opponent.",,,
Masked Clown,DARK,Warrior,2,500,700,''This warrior's fatal dance is performed with a lethal sickle.'',,,
Masked Dragon,FIRE,Dragon / Effect,3,1400,1100,When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 Dragon-Type monster with 1500 or less ATK from your Deck.,,,
Masked Sorcerer,DARK,Spellcaster / Effect,4,900,1400,"When this card inflicts Battle Damage to your opponent's Life Points, draw 1 card from your Deck.",,,
Mass Driver,,Magic,,,,Tribute 1 monster on your side of the field to inflict 400 points of damage to your opponent's Life Points.,Continuous,,
Mass Hypnosis,,Trap,,,,"Activate only while you control an ""Alien"" monster. Select and take control of up to 3 of your opponent's monsters that each have an A-Counter(s) on them. This card is destroyed during the End Phase of the turn it is activated.",Continuous,,
Master & Expert,EARTH,Beast,4,1200,1000,A deadly duo consisting of a beast master and its loyal servant.,,,
Master Kyonshee,EARTH,Zombie,4,1750,1000,A wandering Kyonshee searching for a strong rival to defeat. They say he was known as the master of all martial arts.,,,
Master Monk,EARTH,Rock / Effect,5,1900,1000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 ""Monk Fighter"". This card can attack twice during the same turn.",,,
Master of Oz,EARTH,Beast / Fusion,9,4200,3700,"""Big Koala"" + ""Des Kangaroo""",,,
Mataza the Zapper,DARK,Warrior / Effect,3,1300,800,This card can make a second attack during each Battle Phase. Control of this face-up card on the field cannot switch.,,,
Mausoleum of the Emperor,,Magic,,,,During any Main Phase: The turn player can pay 1000 LP x the number of monsters normally needed for the Tribute Summon of a monster (max. 2000); that player Normal Summons/Sets that monster without Tributing. (This is their one Normal Summon/Set for that turn. This is not a Tribute Summon.),Field,,
Mavelus,WIND,Winged Beast / Fusion,4,1300,900,"""Tyhone"" + ""Wings of Wicked Flame""",,,
Maximum Six,EARTH,Warrior / Effect,6,1900,1600,"When this card is Tribute Summoned: Roll a six-sided die, and this card gains ATK equal to the result x 200.",,,
Mazera DeVille,DARK,Fiend / Effect,8,2800,2300,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up ""Warrior of Zera"" on your side of the field while ""Pandemonium"" is on the field. If ""Pandemonium"" is on your side of the field when you Special Summon this card, your opponent discards 3 random cards from their hand. If ""Pandemonium"" is not on your side of the field, this effect is not applied.",,,
Mech Bass,WATER,Machine,5,1800,1500,''This monster carries a devastating plasma cannon on its powerful back.'',,,
Mech Mole Zombie,DARK,Zombie,2,500,400,''This creature attacks by launching missile-like arms.'',,,
Mecha-Dog Marron,LIGHT,Machine / Effect,4,1000,1000,"When this card is destroyed by battle and sent to the Graveyard, inflict 1000 damage to both players. When this card on the field is destroyed and sent to the Graveyard except by battle, inflict 1000 damage to your opponent.",,,
Mechaleon,WATER,Reptile,2,800,600,''This monster can hide just about anywhere by adopting the colors of its surroundings.'',,,
Mechanical Hound,EARTH,Machine / Effect,7,2800,1500,"While you have no cards in your hand, your opponent cannot activate Spell Cards.",,,
Mechanical Snail,DARK,Machine,3,800,1000,A cyborg snail that still travels at a slow pace.,,,
Mechanicalchaser,DARK,Machine,4,1850,800,A hunter that relentlessly pursues its target by order of the Machine King.,,,
Meda Bat,DARK,Fiend,2,800,400,"An eyeball fiend created by a servant of the wicked, it uses ""Dark Blasts"" to blow away its enemies.",,,
Medusa Worm,EARTH,Rock / Effect,2,500,600,"Once per turn, you can flip this card into face-down Defense Position. When this card is Flip Summoned, destroy 1 monster on your opponent's side of the field.",,,
Mefist the Infernal General,DARK,Fiend / Effect,5,1800,1700,"If this card attacks a Defense Position monster, inflict piercing battle damage. If this card inflicts battle damage to your opponent: Make your opponent discard 1 random card.",,,
Mega Thunderball,WIND,Thunder,2,750,600,Rolls along the ground releasing bolts of electricity to attack its enemies.,,,
Mega Ton Magical Cannon,,Magic,,,,Remove 10 Spell Counters on your side of the field. Destroy all cards on your opponent's side of the field.,Normal,,
Megamorph,,Magic,,,,"While your LP is lower than your opponent's, the equipped monster's ATK becomes double its original ATK. While your LP is higher, the equipped monster's ATK becomes half its original ATK.",Equip,,
Megarock Dragon,EARTH,Rock / Effect,7,,,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play a Rock-Type monster(s) in your Graveyard. The original ATK and DEF of this card become the number of Rock-Type monsters you removed from play when you Special Summoned this card x 700.,,,
Megasonic Eye,DARK,Machine,5,1500,1800,"Made of mysterious metal, this monster is a doomsday machine from the edge of the universe.",,,
Megazowler,EARTH,Dinosaur,6,1800,2000,Nothing stands in the way of this spike-covered dinosaur!,,,
Megirus Light,DARK,Fiend,3,900,600,''The fatal beams from the eyes of this monster result in grim destruction.'',,,
"Mei-Kou, Master of Barriers",LIGHT,Spellcaster / Effect,4,1700,600,"You can Tribute this card, then target 1 face-up Continuous Spell or Continuous Trap Card on the field; destroy that target.",,,
Melchid the Four-Face Beast,DARK,Fiend,4,1500,1200,This monster has four different masks for four different attacks.,,,
"Meltiel, Sage of the Sky",LIGHT,Fairy / Effect,4,1600,1200,"Each time a Counter Trap Card is activated, immediately after it resolves, gain 1000 LP, and if you do, if ""The Sanctuary in the Sky"" is on the field, destroy 1 card your opponent controls.",,,
Memory Crusher,DARK,Fiend / Effect,3,1000,600,"If this card successfully attacks directly, inflict 100 damage to your opponent for each card in their Extra Deck.",,,
Meotoko,EARTH,Beast,2,700,600,Dis big ol' guy wit' a big ol' eye shoots a nasty ray beam right atcha!,,,
Mermaid Knight,WATER,Aqua / Effect,4,1500,700,"While ""Umi"" is face-up on the field, this card can attack twice during the same Battle Phase.",,,
Mesmeric Control,,Magic,,,,"During your opponent's next turn after you activate this card, your opponent cannot change the battle positions of monsters, except with a card effect.",Normal,,
Messenger of Peace,,Magic,,,,"Monsters with 1500 or more ATK cannot declare an attack. Once per turn, during your Standby Phase, pay 100 LP or destroy this card.",Continuous,,
Metal Armored Bug,EARTH,Insect,8,2800,1500,A gigantic insect-like creature covered by thick armor. Everything in his path is destroyed.,,,
Metal Detector,,Trap,,,,You can only activate this card when a Continuous Trap Card is activated. Negate all Continuous Trap Cards during the turn this card is activated.,Normal,,
Metal Dragon,WIND,Machine / Fusion,6,1850,1700,"""Steel Ogre Grotto #1"" + ""Lesser Dragon""",,,
Metal Fish,WATER,Machine,5,1600,1900,A metal fish with a razor-sharp caudal fin.,,,
Metal Guardian,DARK,Fiend,5,1150,2150,"A fiend guarding the treasures of the netherworld, it's most at home in the dark.",,,
Metal Reflect Slime,,Trap,,,,Special Summon this card in Defense Position as an Effect Monster (Aqua/WATER/Level 10/ATK 0/DEF 3000). (This card is also still a Trap.) This card cannot attack.,Continuous,,
Metal Shooter,LIGHT,Machine / Effect,5,800,800,"When this card is Normal Summoned, place 2 counters on it. This card gains 800 ATK for each of these counters on it. If this card would be destroyed by a card effect, remove 1 of this card's counters instead.",,,
Metallizing Parasite - Lunatite,WATER,Aqua / Union / Effect,7,1000,500,"Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to a face-up monster on your side of the field as an Equip Spell Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, that monster will be unaffected by the effects of Spell Cards controlled by your opponent. (1 monster can only be equipped with 1 Union Monster at a time. If the monster that this card is equipped to is destroyed as a result of battle, destroy this card instead.)",,,
Metalmorph,,Trap,,,,"Target 1 face-up monster on the field; equip this card to that target. It gains 300 ATK/DEF. If it attacks, it gains ATK equal to half the ATK of the attack target, during damage calculation only.",Normal,,
Metalsilver Armor,,Magic,,,,"As long as you control the monster equipped with this card, your opponent cannot use the effect of a Spell, Trap, or Effect Monster that targets 1 monster, except the equipped monster.",Equip,,
Metalzoa,DARK,Machine / Effect,8,3000,2300,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your Deck) by Tributing ""Zoa"" equipped with ""Metalmorph"".",,,
Metamorphosis,,Magic,,,,Tribute 1 monster. Special Summon 1 Fusion Monster from your Extra Deck with the same Level as the Tributed monster.,Normal,,
Meteor Black Dragon,FIRE,Dragon / Fusion,8,3500,2000,"""Red-Eyes Black Dragon"" + ""Meteor Dragon""",,,
Meteor Dragon,EARTH,Dragon,6,1800,2000,This dragon appeared from the sky and crashed to the earth.,,,
Meteor of Destruction,,Magic,,,,If your opponent's Life Points are higher than 3000: Inflict 1000 damage to your opponent.,Normal,,
Meteorain,,Trap,,,,"During this turn, when your monsters attack with an ATK that is higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points.",Normal,,
Mezuki,EARTH,Zombie / Effect,4,1700,800,"You can banish this card from your GY, then target 1 Zombie monster in your GY; Special Summon that target.",,,
Michizure,,Trap,,,,"When a monster is sent from the field to your GY, even during the Damage Step: Target 1 monster on the field; destroy it.",Normal,,
Micro Ray,,Trap,,,,Target 1 face-up monster on the field; that target's DEF becomes 0 until the end of this turn.,Normal,,
Mid Shield Gardna,EARTH,Warrior / Effect,4,100,1800,"Once per turn, you can flip this card into face-down Defense Position. Negate the activation of any Spell Card that targets this 1 face-down monster. At that time, flip this card into face-up Defense Position.",,,
Midnight Fiend,DARK,Fiend,2,800,600,''This monster only appears when a midnight tribute is made.'',,,
Mighty Guard,EARTH,Machine,4,500,1200,A machine soldier that was developed as a guard. It is made of rust-proof metal.,,,
Mikazukinoyaiba,DARK,Dragon,7,2200,2350,A dragon warrior of the moon armed with a crescent sword.,,,
Millennium Golem,EARTH,Rock,6,2000,2200,"For nearly a millennium, this golem has served as guardian of an ancient treasure trove.",,,
Millennium Scorpion,EARTH,Insect / Effect,5,2000,1800,"Each time this card destroys 1 monster on your opponent's side of the field by battle and sends it to the Graveyard, this card gains 500 ATK.",,,
Millennium Shield,EARTH,Warrior,5,0,3000,A famous shield said to belong to an ancient Egyptian Pharaoh. Legends tell of its power to block any strong attack.,,,
Milus Radiant,EARTH,Beast / Effect,1,300,250,"As long as this card remains face-up on the field, increase the ATK of all EARTH monsters by 500 points and decrease the ATK of all WIND monsters by 400 points.",,,
Minar,EARTH,Insect / Effect,3,850,750,"When this card is discarded directly from your hand to the Graveyard by an effect of a card controlled by your opponent, inflict 1000 points of damage to your opponent's Life Points.",,,
Mind Control,,Magic,,,,"Target 1 monster your opponent controls; until the End Phase, take control of that target, but it cannot declare an attack or be Tributed.",Normal,,
Mind Crush,,Trap,,,,"Declare 1 card name; if that card is in your opponent's hand, they must discard all copies of it, otherwise you discard 1 random card.",Normal,,
Mind Haxorz,,Trap,,,,Pay 500 Life Points. Look at your opponent's hand and all Set cards on their side of the field.,Normal,,
Mind on Air,DARK,Spellcaster / Effect,6,1000,1600,Your opponent must play with their hand revealed.,,,
Mind Wipe,,Magic,,,,"Activate only if your opponent has 3 or less cards in their hand. Your opponent adds their hand to the Deck and shuffles it, then draws the same number of cards they added to the Deck.",Quick-Play,,
Mine Golem,EARTH,Rock / Effect,3,1000,1900,"When this card is destroyed by battle and sent to the Graveyard, inflict 500 damage to your opponent.",,,
Minefield Eruption,,Trap,,,,"Inflict 1000 damage to your opponent for each face-up ""Mine Golem"" on your side of the field. After that, destroy all face-up ""Mine Golem""(s) on your side of the field.",Normal,,
Minomushi Warrior,EARTH,Rock,4,1300,1200,''A rock warrior that wields a heavy blade carved from stone.'',,,
Minor Goblin Official,,Trap,,,,You can only activate this card when your opponent's Life Points are 3000 or less. Inflict 500 points of damage to your opponent's Life Points during each of his/her Standby Phases.,Continuous,,
Miracle Dig,,Magic,,,,"If 5 or more of your monsters are currently removed from play, return 3 of them to the Graveyard.",Normal,,
Miracle Flipper,LIGHT,Spellcaster / Effect,2,300,500,"If you control a ""Miracle Flipper"", you cannot Summon this card. Your opponent cannot select another face-up monster as an attack target. If this card is destroyed by battle, Special Summon it to your opponent's side of the field at the end of the Battle Phase. If this card is destroyed by the effect of a Spell or Trap Card, destroy 1 monster your opponent controls.",,,
Miracle Fusion,,Magic,,,,"Fusion Summon 1 ""Elemental HERO"" Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your field or your GY.",Normal,,
Miracle Jurassic Egg,EARTH,Dinosaur / Effect,4,0,2000,"While face-up on the field, this card cannot be banished. Each time a Dinosaur-Type monster(s) is sent to your Graveyard, place 2 counters on this card. You can Tribute this card; Special Summon 1 Dinosaur-Type monster from your Deck whose Level is less than or equal to the number of counters that were on this card.",,,
Miracle Kids,,Trap,,,,"Target 1 monster your opponent controls; that target loses 400 ATK for each ""Hero Kid"" in your Graveyard, until the End Phase.",Normal,,
Miracle Restoring,,Trap,,,,"Remove 2 Spell Counters from your side of the field, then target 1 ""Dark Magician"" or ""Buster Blader"" in your Graveyard; Special Summon that target.",Normal,,
Miraculous Descent,,Trap,,,,"Target 1 of your banished Fairy monsters; Special Summon it. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.",Continuous,,
Miraculous Rebirth,,Magic,,,,Activate only as Chain Link 4 or higher. Select 1 monster from either player's Graveyard and Special Summon it. You cannot activate this card if multiple cards/effects with the same name are in that Chain.,Quick-Play,,
Mirage Dragon,LIGHT,Dragon / Effect,4,1600,600,Your opponent cannot activate Trap Cards during the Battle Phase.,,,
Mirage Knight,LIGHT,Warrior / Effect,8,2800,2000,"Cannot be Normal Summoned/Set. Must be Special Summoned by ""Dark Flare Knight"" and cannot be Special Summoned by other ways. During damage calculation only, this card gains ATK equal to the original ATK of the opponent's monster it is battling. During the End Phase of a turn this card attacked or was attacked: Banish this card.",,,
Mirage of Nightmare,,Magic,,,,"Once per turn, during your opponent's Standby Phase: Draw cards until you have 4 cards in your hand. If you do, during your next Standby Phase after that: Randomly discard the same number of cards you drew (or your entire hand, if you do not have enough cards).",Continuous,,
Mirage Tube,,Magic,,,,This card cannot be activated from your hand. Activate only when a face-up monster you control is selected as an attack target. Inflict 1000 damage to your opponent.,Quick-Play,,
Mirror Force,,Trap,,,,When an opponent's monster declares an attack: Destroy all your opponent's Attack Position monsters.,Normal,,
Mirror Gate,,Trap,,,,"When an opponent's monster declares an attack targeting a face-up ""Elemental HERO"" monster you control: Switch control of the opponent's attacking monster with the targeted monster you control, then calculate damage. Control of both monsters switches back during the End Phase.",Normal,,
Mirror Wall,,Trap,,,,"Each of your opponent's monsters that conducted an attack while this card was face-up on the field has its ATK halved as long as this card remains on the field. During each of your Standby Phases, pay 2000 LP or destroy this card.",Continuous,,
Misairuzame,WATER,Fish,5,1400,1600,A missile-launching fish protected by deadly spikes.,,,
Misfortune,,Magic,,,,Select 1 face-up monster your opponent controls. Inflict damage to your opponent equal to half that monster's original ATK. Your monsters cannot attack this turn.,Normal,,
Mispolymerization,,Trap,,,,Activate only when a Fusion Monster is Special Summoned. Return all face-up Fusion Monsters to their respective Extra Decks.,Normal,,
Mist Archfiend,DARK,Fiend / Effect,5,2400,0,"You can Normal Summon this card without Tributing. Once per turn, during the End Phase, if this card was Summoned this way: Destroy this card, and if you do, take 1000 damage.",,,
Mist Body,,Magic,,,,The equipped monster cannot be destroyed by battle.,Equip,,
Moai Interceptor Cannons,EARTH,Rock / Effect,4,1100,2000,"Once per turn, you can flip this card into face-down Defense Position.",,,
Mobius the Frost Monarch,WATER,Aqua / Effect,6,2400,1000,When this card is Tribute Summoned: You can target up to 2 Spell/Trap Cards on the field; destroy those targets.,,,
Moisture Creature,LIGHT,Fairy / Effect,9,2800,2900,"If you Tribute Summon this monster by Tributing 3 monsters on the field, destroy all Spell and Trap Cards on your opponent's side of the field.",,,
Mokey Mokey,LIGHT,Fairy,1,300,100,An outcast angel. Nobody knows what he is thinking at all. Sometimes he gets mad and that is dreadful.,,,
Mokey Mokey King,LIGHT,Fairy / Fusion / Effect,6,300,100,"""Mokey Mokey"" + ""Mokey Mokey"" + ""Mokey Mokey""
When this card is removed from the field, you can Special Summon as many ""Mokey Mokey"" as possible from your Graveyard.",,,
Mokey Mokey Smackdown,,Magic,,,,"While a face-up ""Mokey Mokey"" is on your side of the field, if a Fairy-Type monster on your side of the field is destroyed, the ATK of each ""Mokey Mokey"" on your side of the field becomes 3000 until the end of this turn.",Continuous,,
Molten Behemoth,FIRE,Pyro,5,1000,2200,"A giant born from magma, it attacks with a magma punch.",,,
Molten Destruction,,Magic,,,,All FIRE monsters gain 500 ATK and lose 400 DEF.,Field,,
Molten Zombie,FIRE,Pyro / Effect,4,1600,400,When this card is Special Summoned from the Graveyard: Draw 1 card.,,,
Mon Larvas,EARTH,Beast,4,1300,1400,"''A further step in the evolutionary chain, it is much more powerful than ""Larvas"".''",,,
Monk Fighter,EARTH,Rock / Effect,3,1300,1000,Battle Damage to this card's controller from a battle involving this card becomes 0.,,,
Monster Egg,EARTH,Warrior,3,600,900,A warrior hidden within an egg that attacks enemies by flinging eggshells.,,,
Monster Eye,DARK,Fiend / Effect,1,250,350,"You can pay 1000 Life Points; add 1 ""Polymerization"" from your Graveyard to your hand.",,,
Monster Gate,,Magic,,,,"Tribute 1 monster; excavate cards from the top of your Deck until you excavate a monster that can be Normal Summoned/Set. Special Summon it, also send the other excavated cards to the GY.",Normal,,
Monster Reborn,,Magic,,,,Target 1 monster in either GY; Special Summon it.,Normal,,
Monster Recovery,,Magic,,,,"Target 1 monster you control that is owned by you; if that monster is still on the field, shuffle it and your entire hand into the Deck, also, after that, draw cards equal to the number of cards you shuffled from your hand into the Deck by this effect. (You cannot activate this card if you have a card in your hand that is owned by your opponent.)",Quick-Play,,
Monster Reincarnation,,Magic,,,,"Discard 1 card, then target 1 monster in your GY; add it to your hand.",Normal,,
Monster Tamer,EARTH,Warrior,5,1800,1600,A master of monsters that exercises control over several creatures.,,,
Monstrous Bird,WIND,Winged Beast,6,2000,1900,''Few have set eyes on this dive-bombing bird and lived to tell the tale.'',,,
Monsturtle,WATER,Aqua,3,800,1000,"''Protected by a spiked shell, this turtle has a very nasty disposition.''",,,
Moon Envoy,LIGHT,Warrior,4,1100,1000,Many have fallen victim to this lunar warrior's crescent pike.,,,
Mooyan Curry,,Magic,,,,Choose 1 player; that player gains 200 Life Points.,Normal,,
Morale Boost,,Magic,,,,"Each time a player equips an Equip Spell Card, increase the Life Points of the controller of that Equip Spell Card by 1000 points. Each time an Equip Spell Card is removed from the field, the controller of that Equip Spell Card takes 1000 points of damage.",Continuous,,
Morinphen,DARK,Fiend,5,1550,1300,A strange fiend with long arms and razor-sharp talons.,,,
Morphing Jar,EARTH,Rock / Flip / Effect,2,700,600,"FLIP: Both players discard as many cards as possible from their hands, then each player draws 5 cards.",,,
Morphing Jar #2,EARTH,Rock / Flip / Effect,3,800,700,"FLIP: Shuffle all monsters on the field into the Deck. Then, each player excavates cards from the top of their Deck, until they excavate the same number of monsters they shuffled into their Main Deck. Special Summon all excavated Level 4 or lower monsters in face-down Defense Position, also send the remaining cards to the Graveyard.",,,
Mosaic Manticore,EARTH,Beast / Effect,8,2800,2500,"During the Standby Phase of your next turn after you Tribute Summoned this face-up card on the field: Special Summon, from the Graveyard, as many monster(s) as possible that were used for its Tribute Summon. They cannot declare an attack, and their effects are negated.",,,
Mother Grizzly,WATER,Beast-Warrior / Effect,4,1400,1000,"When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 WATER monster with 1500 or less ATK from your Deck, in face-up Attack Position.",,,
Mountain,,Magic,,,,"All Dragon, Winged Beast, and Thunder monsters on the field gain 200 ATK/DEF.",Field,,
Mountain Warrior,EARTH,Beast-Warrior,3,600,1000,A tough warrior that can move smoothly on even the roughest terrain.,,,
Mr. Volcano,FIRE,Pyro,5,2100,1300,This seemingly mild-mannered creature has an extremely volatile temper.,,,
Mucus Yolk,DARK,Aqua / Effect,3,0,100,"This card can attack your opponent's Life Points directly. Each time this card inflicts Battle Damage to your opponent's Life Points, increase the ATK of this card by 1000 points during your next Standby Phase. The ATK increase lasts as long as this card remains face-up on the field.",,,
Mudora,EARTH,Fairy / Effect,4,1500,1800,This card gains 200 ATK for each Fairy-Type monster in your Graveyard.,,,
Muka Muka,EARTH,Rock / Effect,2,600,300,This card gains 300 ATK and DEF for each card in your hand.,,,
Muko,,Trap,,,,Activate only when an effect of drawing card(s) is activated. Both players see the cards drawn by the effect and discard them all to the Graveyard.,Normal,,
Multiplication of Ants,,Magic,,,,"Tribute 1 Insect-Type Monster on your side of the field. Special Summon 2 ""Army Ant Tokens"" (Insect-Type/EARTH/Level 4/ATK 500/DEF 1200) on your side of the field. The tokens cannot be used as a Tribute for a Tribute Summon.",Normal,,
Multiply,,Magic,,,,"Tribute 1 face-up ""Kuriboh""; Special Summon as many ""Kuriboh Tokens"" (Fiend/DARK/Level 1/ATK 300/DEF 200) as possible, in Defense Position. They cannot be Tributed for a Tribute Summon.",Quick-Play,,
Muse-A,LIGHT,Fairy,3,850,900,''A fairy of the arts that is unbeatable on the harp.'',,,
Mushroom Man,EARTH,Plant,2,800,600,"Found in humid regions, this creature attacks enemies with a lethal rain of poison spores.",,,
Mushroom Man #2,EARTH,Warrior / Effect,3,1250,800,A player controlling this monster loses 300 Life Points during each of his/her Standby Phases when this card is face-up on the field. Control of this card is shifted to your opponent by paying 500 Life Points at your own End Phase.,,,
Musician King,LIGHT,Spellcaster / Fusion,5,1750,1500,"""Witch of the Black Forest"" + ""Lady of Faith""",,,
Mustering of the Dark Scorpions,,Magic,,,,"If you control a face-up ""Don Zaloog"": You can Special Summon any number of ""Dark Scorpion"" monsters from your hand, but only 1 copy of each.",Normal,,
Mutant Mindmaster,DARK,Spellcaster / Effect,6,0,2500,"When this card declares an attack, you can take control of 1 face-up Attack Position monster your opponent controls, and attack with it instead of this monster. It cannot attack your opponent directly. Return it to your opponent at the end of the Battle Phase.",,,
My Body as a Shield,,Magic,,,,"When your opponent activates a Spell/Trap Card or monster effect that would destroy a monster(s) on the field: Pay 1500 LP; negate the activation, and if you do, destroy it.",Quick-Play,,
Mysterious Guard,EARTH,Spellcaster / Flip / Effect,3,800,1200,"FLIP: Target 1 face-up monster on the field, and if you control a face-up Warrior-Type monster, you can target 1 additional face-up monster on the field; return the first target to the top of the Deck, then return the additional target (if any) to the hand if you still control a face-up Warrior-Type monster.",,,
Mysterious Puppeteer,EARTH,Warrior / Effect,4,1000,1500,"Each time you or your opponent Normal Summons or Flip Summons a monster, increase your Life Points by 500 points.",,,
Mystery Hand,DARK,Fiend,2,500,500,''This monster twists reality and reaches between dimensions to attack its enemies.'',,,
Mystic Box,,Magic,,,,"Target 1 monster your opponent controls and 1 monster you control; destroy the first target, then give control of the second target to your opponent.",Normal,,
Mystic Clown,DARK,Fiend,4,1500,1000,Nothing can stop the mad attack of this powerful creature.,,,
Mystic Horseman,EARTH,Beast,4,1300,1550,"Half man and half horse, this monster is known for its extreme speed.",,,
Mystic Lamp,DARK,Spellcaster / Effect,1,400,300,This monster can attack your opponent's Life Points directly.,,,
Mystic Plasma Zone,,Magic,,,,Increase the ATK of all DARK monsters by 500 points and decreases their DEF by 400 points.,Field,,
Mystic Probe,,Trap,,,,You can only activate this card when a Continuous Spell Card is activated. Negate all Continuous Spell Cards during the turn this card is activated.,Normal,,
Mystic Swordsman LV2,EARTH,Warrior / Effect,2,900,0,"At the start of the Damage Step, if this card attacked a face-down Defense Position monster: Destroy that monster. During the End Phase, if this card destroyed a monster by battle this turn: You can send this face-up card to the Graveyard; Special Summon 1 ""Mystic Swordsman LV4"" from your hand or Deck.",,,
Mystic Swordsman LV4,EARTH,Warrior / Effect,4,1900,1600,"Cannot be Normal Summoned (but can be Normal Set). At the start of the Damage Step, if this card attacked a face-down Defense Position monster: Destroy that monster. During the End Phase, if this card destroyed a monster by battle this turn: You can send this face-up card to the Graveyard; Special Summon 1 ""Mystic Swordsman LV6"" from your hand or Deck.",,,
Mystic Swordsman LV6,EARTH,Warrior / Effect,6,2300,1700,"Cannot be Normal Summoned (but can be Normal Set). At the start of the Damage Step, if this card attacked a face-down Defense Position monster: Destroy that monster, and if you do, you can place it on top of your opponent's Deck instead of sending it to the Graveyard.",,,
Mystic Tomato,DARK,Plant / Effect,4,1400,1100,"When this card is destroyed by battle and sent to the GY: You can Special Summon 1 DARK monster with 1500 or less ATK from your Deck, in face-up Attack Position.",,,
Mystical Beast of Serket,EARTH,Fairy / Effect,6,2500,2000,"If you do not control ""Temple of the Kings"", destroy this card. Banish any monster destroyed by battle with this card. If this card destroys a monster by battle: It gains 500 ATK.",,,
Mystical Capture Chain,LIGHT,Fairy,2,700,700,"''A mystical chain that binds enemies, rendering them immobile.''",,,
Mystical Cards of Light,,Magic,,,,"You cannot use 1 of your Spell & Trap Card Zones. During your Draw Phase, if you control another ""Mystical Cards of Light"", you can draw 2 cards instead of 1 for your normal draw.",Continuous,,
Mystical Elf,LIGHT,Spellcaster,4,800,2000,"A delicate elf that lacks offense, but has a terrific defense backed by mystical power.",,,
Mystical Knight of Jackal,LIGHT,Beast-Warrior / Effect,7,2700,1200,"When this card destroys 1 monster on your opponent's side of the field and sends it to your opponent's Graveyard as a result of battle, you can then return the card to the top of your opponent's Deck.",,,
Mystical Moon,,Magic,,,,Equip only to a Beast-Warrior-Type monster. It gains 300 ATK and DEF.,Equip,,
Mystical Refpanel,,Trap,,,,Activate only when a Spell Card that targets 1 player is activated. The effect of that Spell Card is applied to the other player instead.,Normal,,
Mystical Sand,EARTH,Rock / Fusion,6,2100,1700,"""Giant Soldier of Stone"" + ""Ancient Elf""",,,
Mystical Sheep #1,EARTH,Beast / Effect,3,1150,900,"You can substitute this card for any 1 Fusion-Material Monster. When you do this, the other Fusion-Material Monster(s) must be the correct one(s).",,,
Mystical Sheep #2,EARTH,Beast,3,800,1000,A monstrous sheep with a long tail for hypnotizing enemies.,,,
Mystical Shine Ball,LIGHT,Fairy,2,500,500,"A soul of light covered by mystical shine. When you see its beautiful shape, your dream will come true.",,,
Mystical Space Typhoon,,Magic,,,,Target 1 Spell/Trap on the field; destroy that target.,Quick-Play,,
Mystical Wind Typhoon,,Magic,,,,Activate only as Chain Link 3 or higher. Destroy 1 Spell or Trap Card on the field. You cannot activate this card if multiple cards/effects with the same name are in that Chain.,Quick-Play,,
Mystik Wok,,Magic,,,,Tribute 1 monster. Select either its ATK or DEF and gain that many Life Points.,Quick-Play,,
Mythical Beast Cerberus,LIGHT,Spellcaster / Effect,4,1400,1400,"Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. Gains 500 ATK for each Spell Counter on it. At the end of the Battle Phase, if this card battled, remove all Spell Counters on it.",,,
